Material Index,Materials Difficulty,Questions Numbers,Topics
921,-0.5099999999999998,1,4
922,-1.0,1,3
923,2.41,3,2
924,3.31,4,1
925,1.3,2,4
926,2.4200000000000004,3,1
927,-0.99,1,4
928,1.31,2,4
929,2.43,3,4
930,0.1099999999999999,1,0
931,3.3200000000000003,4,4
932,1.32,2,2
933,2.4400000000000004,4,4
934,2.45,3,4
935,-0.98,1,1
936,3.33,4,0
937,0.1199999999999999,1,4
938,1.33,3,4
939,-2.71,1,4
940,-0.97,1,2
941,3.3400000000000003,3,0
942,1.34,2,4
943,-1.63,1,2
944,-1.62,1,4
945,1.35,2,3
946,0.1299999999999999,1,4
947,2.4600000000000004,3,0
948,3.35,4,3
949,1.36,2,4
950,3.3600000000000003,3,2
951,-2.7,1,3
952,3.37,4,1
953,-2.69,1,2
954,2.47,3,3
955,0.1399999999999999,1,0
956,-2.68,1,1
957,-0.96,1,1
958,3.3800000000000003,4,1
959,-1.61,1,0
960,-2.67,1,1
961,1.37,2,0
962,-2.66,1,3
963,2.4800000000000004,3,0
964,-1.6,1,0
965,0.15,1,4
966,-1.59,1,3
967,3.39,4,3
968,-0.95,1,0
969,-1.5799999999999998,1,4
970,-1.5699999999999998,1,4
971,0.16,1,0
972,0.17,1,4
973,-1.5599999999999998,1,0
974,-2.65,1,1
975,-0.94,1,3
976,2.49,3,0
977,1.38,2,4
978,1.39,2,3
979,-1.5499999999999998,1,4
980,2.0,3,0
981,0.18,1,4
982,-1.5399999999999998,1,4
983,0.19,1,4
984,1.4,2,4
985,0.2,1,4
986,1.41,2,0
987,2.01,3,4
988,-0.93,1,0
989,0.21,1,1
990,1.4200000000000002,2,4
991,3.4000000000000004,4,0
992,2.02,3,4
993,-0.92,1,4
994,-0.91,1,0
995,3.41,4,0
996,3.4200000000000004,4,4
997,0.22,1,0
998,2.03,3,4
999,-1.5299999999999998,1,3
1000,0.23,1,0
1001,1.4300000000000002,2,0
1002,-1.5199999999999998,1,4
1003,0.24,1,1
1004,-1.5099999999999998,1,2
1005,-2.0,1,0
1006,-0.9,1,2
1007,-2.64,1,4
1008,-2.63,1,0
1009,2.04,3,2
1010,3.43,4,3
1011,-2.62,1,3
1012,-0.89,1,0
1013,0.25,1,0
1014,-0.88,1,2
1015,3.4400000000000004,4,4
1016,-1.99,1,2
1017,0.26,1,0
1018,-0.87,1,2
1019,0.2700000000000001,1,0
1020,1.4400000000000002,2,0
1021,1.4500000000000002,2,0
1022,0.2800000000000001,1,3
1023,-0.86,1,3
1024,3.45,4,4
1025,3.4600000000000004,4,4
1026,1.4600000000000002,2,0
1027,-1.98,1,0
1028,1.4700000000000002,2,4
1029,-1.97,1,1
1030,3.47,4,0
1031,3.4800000000000004,4,4
1032,1.4800000000000002,2,4
1033,-1.96,1,0
1034,2.05,4,2
1035,-0.85,1,4
1036,1.4900000000000002,2,4
1037,-0.84,1,4
1038,1.0,2,4
1039,3.49,4,2
1040,0.2900000000000001,1,3
1041,2.06,3,3
1042,-1.95,1,4
1043,3.0,4,0
1044,3.01,4,0
1045,0.3000000000000001,1,0
1046,-1.94,1,4
1047,0.3100000000000001,1,4
1048,2.07,3,4
1049,3.02,4,2
1050,2.08,1,4
1051,3.03,4,2
1052,1.01,2,3
1053,2.09,3,0
1054,-0.83,1,4
1055,2.1,3,4
1056,3.04,4,2
1057,-2.61,1,4
1058,2.11,3,0
1059,3.05,3,0
1060,0.3200000000000001,1,4
1061,-0.82,1,4
1062,2.12,3,1
1063,1.02,2,3
1064,3.06,4,2
1065,3.07,3,3
1066,-2.6,1,3
1067,3.08,4,3
1068,-0.8099999999999999,1,4
1069,0.3300000000000001,1,1
1070,2.13,3,4
1071,-0.7999999999999999,1,4
1072,2.14,3,0
1073,1.03,2,4
1074,-1.93,1,0
1075,1.04,2,3
1076,-1.92,1,4
1077,-1.91,1,0
1078,0.3400000000000001,1,0
1079,2.15,3,1
1080,1.05,2,4
1081,3.09,3,4
